#  UGC obs  band epsilon Sky FWHM  n  mu_e  r_e  r_e  mu_0     h    h   B/D
#                                            ''  kpc          ''  kpc   B/D
 7357  089  B  0.251  21.70  2.4 0.6 22.44  2.9  1.2 21.74  13.2  5.6  0.04
 7357  088  R  0.251  20.23  1.7 0.5 20.95  2.9  1.2 20.56  10.7  4.5  0.07
 7357  077  R  0.251  20.69  2.0 0.6 20.84  2.5  1.0 20.58  10.7  4.5  0.07
 7632  036  B  0.431  22.11  0.4 0.9 21.56  2.3  1.1 21.86  18.8  8.9  0.04
 7632  035  V  0.431  21.21  1.9 2.0 21.94  4.4  2.1 21.16  18.6  8.8  0.07
 7632  034  R  0.431  20.73  1.7 1.6 20.72  3.2  1.5 20.55  16.9  8.0  0.07
 7632  223  H  0.431  14.48  2.7 1.8 18.83  4.1  1.9 18.12  13.2  6.2  0.12
 9467  067  B  0.431  22.53  1.6 0.5 22.50  2.1  0.5 20.90  11.2  2.7  0.01
 9467  068  B  0.431  22.53  1.6 0.5 22.50  2.1  0.5 20.90  11.2  2.7  0.01
 9467  064  B  0.431  22.46  2.0 0.8 21.78  1.5  0.4 20.89  11.3  2.7  0.01
 9467  065  B  0.431  22.45  0.3 0.5 21.81  1.8  0.4 20.87  11.2  2.7  0.02
 9467  066  V  0.431  21.44  1.7 0.9 21.02  1.9  0.5 20.21  10.6  2.6  0.03
 9467  065  R  0.431  20.75  1.9 0.6 20.79  2.1  0.5 19.67   9.8  2.4  0.03
 9467  067  R  0.431  20.90  1.4 0.7 20.34  1.8  0.4 19.64   9.7  2.4  0.03
 9467  203  H  0.431  14.66  2.8 1.0 18.60  3.0  0.7 17.64   9.5  2.3  0.08
 9467  226  H  0.431  14.08  1.9 1.1 18.35  2.2  0.5 17.54   8.9  2.2  0.06
 9467  091  H  0.431  13.65  2.4 0.9 18.36  2.2  0.5 17.49   8.5  2.1  0.06
 9908  079  B  0.054  22.33  2.3 1.4 20.70  4.1  0.5 20.54  11.5  1.4  0.24
 9908  076  V  0.054  21.43  1.7 1.3 19.48  3.5  0.4 19.64  10.4  1.3  0.28
 9908  077  V  0.054  21.43  1.7 1.3 19.51  3.6  0.4 19.69  10.6  1.3  0.29
 9908  075  R  0.054  21.03  1.7 1.3 18.90  3.4  0.4 19.02   9.6  1.2  0.30
 9908  080  R  0.054  20.99  1.8 1.3 18.95  3.5  0.4 19.07   9.7  1.2  0.31
 9908  281  H  0.054  14.20  2.1 1.0 16.21  3.1  0.4 16.66   8.6  1.0  0.37
 9933  058  B  0.405  22.38  1.8 1.2 21.49  3.2  1.2 21.32  14.6  5.3  0.09
 9933  057  V  0.405  21.45  1.8 1.5 20.90  4.9  1.8 20.63  15.5  5.7  0.18
 9933  245  H  0.405  14.23  2.3 1.6 17.79  4.9  1.8 17.57  13.9  5.1  0.24
 9933  580  H  0.405  14.36  1.3 1.7 17.13  2.7  1.0 17.17  11.4  4.2  0.14
 9933  107  H  0.405  13.64  2.7 1.6 17.81  4.8  1.7 17.51  12.9  4.7  0.25
10436  083  B  0.067  22.51  1.7 0.5 21.38  1.2  0.7 21.33  10.9  6.4  0.02
10436  082  V  0.067  21.57  1.6 0.7 20.34  1.3  0.8 20.37   9.4  5.5  0.03
10436  081  R  0.067  21.24  1.9 0.8 19.74  1.3  0.7 19.81   9.0  5.3  0.04
10436  261  H  0.067  14.22  2.0 0.1 16.33  1.1  0.6 17.40   7.0  4.1  0.07
10436  172  H  0.067  13.85  2.1 0.4 16.64  1.0  0.6 17.24   6.5  3.8  0.06
10526  082  B  0.243  22.40  2.1 0.2 22.92  1.3  0.8 21.15   8.3  5.5  0.01
10526  081  V  0.243  21.53  1.6 0.6 22.11  1.6  1.1 20.44   7.8  5.2  0.01
10526  080  R  0.243  21.16  1.9 0.7 21.54  1.7  1.1 19.99   7.6  5.1  0.02
10888  070  V  0.304  21.57  2.2 0.8 20.12  2.6  1.0 20.28  10.0  4.1  0.14
10888  032  V  0.304  20.98  1.9 1.1 19.38  1.7  0.7 20.35  10.5  4.3  0.13
