#    ID      VHEL       FLX      FLXC        mI
   2880    5982.0      2.07      2.34     14.91
   2888    4039.0      6.97      7.84     12.87
   2896    2226.0      3.93      3.98     14.02
   2910    5509.0      2.08      2.27     14.32
   2920    4156.0      8.64     10.84     13.13
   2931    5745.0      3.48      4.07     13.41
   2936    3811.0      9.93     13.29     11.74
   2954    5342.0      3.53      3.87     13.53
   2956    4544.0      1.62      2.01     13.26
   2963    5302.0     13.40     17.13     12.33
   2966    3572.0      6.44      7.14     14.92
   2969    5068.0      6.30      6.51     13.11
   2985    3929.0      6.55      7.43     12.62
   2994    3319.0      6.94      8.38     13.08
   3002    3565.0      5.00      5.71     13.45
   3007    5631.0      5.96      6.97     13.31
   3043    7415.0      5.47      5.51     14.35
   3066    4642.0      9.23     12.05     12.43
   3078    5420.0      7.21      8.33     13.05
   3084    4063.0      5.91      7.06     13.05
   3103    3512.0     27.16     28.48     10.93
   3108    3954.0     14.69     15.19     12.26
   3114    3724.0     20.21     20.96     12.47
   3122    4686.0      5.83      7.85     12.24
   3127    3347.0      8.68      8.92     13.28
   3135    7395.0      8.50     10.31     13.00
   3143    4555.0      6.63      6.73     13.78
   3162    4649.0     11.95     13.56     13.69
   3167    4754.0      7.60      7.68     13.27
   3171    4553.0      6.28      7.48     13.09
   3187    4738.0      0.96      1.13     13.54
   3189    4563.0     11.95     12.21     12.99
   3219    8478.0      3.38      3.86     13.89
   3231    4834.0     10.77     13.11     13.30
   3235    3960.0      4.99      5.14     14.07
   3237    4195.0     10.63     12.26     13.44
   3238    4754.0      7.10      8.73     11.61
   3248    8933.0      7.73      9.35     12.86
   3252    6114.0     17.88     18.53     11.99
   3259    4939.0      5.06      5.20     12.58
   3277    5118.0      3.93      4.04     13.08
   3283    4505.0      4.22      4.47     13.83
   3284    4703.0      5.54      5.64     13.94
   3319    4213.0     10.00     10.14     14.12
   3326    4101.0     12.34     12.93     12.37
   3342    3998.0      2.23      2.26     13.02
   3366    5921.0      9.21      9.23     13.11
   3368    5197.0     12.81     12.94     13.90
   3373    4758.0      8.54      8.68     12.77
   3375    5793.0     15.95     16.39     11.52
   3398    7046.0      4.84      4.90     13.72
   3403    1264.0     12.81     13.23     11.78
   3405    3817.0     23.27     23.53     11.95
   3411    6799.0      7.05      7.17     13.47
   3412    3997.0      7.05      7.15     14.12
   3413    4217.0     16.25     16.94     11.71
   3416    4003.0      8.44      8.70     12.77
   3432    4996.0      5.95      6.03     13.69
   3459    2888.0      4.08      4.66     12.66
   3463    2682.0      4.08      4.25     11.18
   3477    6497.0     12.28     12.51     13.19
   3487    5261.0      4.53      4.62     13.14
   3505    5369.0      3.67      4.19     13.94
